time	Vg	Id(=Ig)	Ig(=Id)
116.7416202	0.0999654	1.52481e-05	2.29669e-08
116.8888388	0.0999647	1.52465e-05	2.2727e-08
117.0814656	-0.800009	9.98498e-05	8.48606e-06
117.2141371	-0.800005	9.67709e-05	1.09657e-06
117.3622755	-0.800007	9.64457e-05	3.09253e-07
117.4769219	-0.800008	9.6421e-05	1.99111e-07
117.607786	-0.800009	9.64485e-05	1.53101e-07
117.8362475	-0.800011	9.65013e-05	1.23372e-07
117.9536176	-0.800012	9.65808e-05	1.02171e-07
118.1337992	-0.800012	9.66473e-05	1.96104e-08
118.2049643	-0.800012	9.66973e-05	1.59187e-08
118.408699	-0.800011	9.67594e-05	1.32887e-08
118.5159899	-0.800012	9.68065e-05	1.06076e-08
118.6414391	-0.800012	9.68549e-05	8.73743e-09
118.78588	-0.800012	9.69028e-05	7.11181e-09
118.9019328	-0.800013	9.69488e-05	5.37192e-09
119.0291099	-0.800012	9.69885e-05	4.40779e-09
119.1552971	-0.800009	9.70277e-05	2.99647e-09
119.2898288	-0.800009	9.70716e-05	2.22018e-09
119.3964087	-0.80001	9.71069e-05	1.24074e-09
119.5505932	-0.800009	9.71455e-05	5.13685e-10
119.6477414	-0.80001	9.718e-05	1.08743e-10
119.7822567	-0.80001	9.72146e-05	9.35829e-10
119.8948667	-0.800009	9.7246e-05	1.29248e-09
120.0379025	-0.80001	9.72771e-05	1.65697e-09
120.2231964	-0.800011	9.73182e-05	1.94722e-09
120.3176764	-0.800011	9.73473e-05	2.36157e-09
120.4328376	-0.800011	9.73752e-05	2.85801e-09
120.5848361	-0.80001	9.74073e-05	2.73575e-09
120.6979732	-0.800009	9.74347e-05	3.20694e-09
120.8177206	-0.80001	9.74629e-05	3.35897e-09
120.9340282	-0.80001	9.74868e-05	3.48783e-09
121.0787946	-0.80001	9.75135e-05	4.51477e-09
121.2061077	-0.80001	9.75395e-05	4.38578e-09
121.3265665	-0.80001	9.75646e-05	4.83474e-09
121.4434213	-0.800011	9.75868e-05	4.77834e-09
121.59177	-0.800011	9.7613e-05	5.10089e-09
121.6751507	-0.80001	9.76323e-05	5.24007e-09
121.8533634	-0.80001	9.7658e-05	5.2039e-09
121.939033	-0.80001	9.768e-05	5.6447e-09
122.0913343	0.0999684	1.91313e-05	8.7375e-06
122.2266889	0.0999695	1.61618e-05	1.45031e-06
122.3692355	0.099968	1.56522e-05	3.56348e-07
122.4738852	0.099969	1.5517e-05	1.89634e-07
122.5888948	0.0999687	1.54452e-05	1.23821e-07
122.8212828	0.0999686	1.53917e-05	4.09985e-08
122.9070862	0.099968	1.53667e-05	3.68341e-08
123.0494507	0.099969	1.53498e-05	3.39897e-08
123.1740172	0.0999685	1.53347e-05	3.1836e-08
123.3275608	0.0999686	1.53236e-05	2.96805e-08
123.4109301	0.0999675	1.53155e-05	2.85466e-08
123.5329167	0.0999676	1.53092e-05	2.79285e-08
